# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N72    0.825      SPARTAN_comb_N72_1.spec    23.4262     0.0             29.4836     0.1829          27.1443     0.3678          25.003      0.0607          23.4262     0.2653          22.6708     0.0418          21.7314    1.0741         21.1021    0.4896         20.5875    1.2228        
  SPARTAN_comb_N73    0.8252     SPARTAN_comb_N73_1.spec    23.654      0.0             29.0392     0.4217          26.9678     0.0929          24.9823     0.0868          23.654      0.3151          22.9875     0.6599          22.276     0.7816         21.7874    1.1165         21.5366    0.9038        
  SPARTAN_comb_N74    0.8254     SPARTAN_comb_N74_1.spec    21.6575     0.0             22.488      0.0809          22.2887     0.1861          21.916      0.2577          21.6575     0.2728          21.0974     0.3143          20.3493    1.0783         20.7278    0.429          21.009     0.1997        
  SPARTAN_comb_N75    0.8255     SPARTAN_comb_N75_1.spec    24.489      0.0             26.4229     0.2512          26.0213     0.1088          25.3968     0.1489          24.489      0.038           24.0371     0.4375          23.3199    0.9556         23.1113    0.6666         22.9699    0.8436        
  SPARTAN_comb_N76    0.8257     SPARTAN_comb_N76_1.spec    22.6839     0.0             24.9662     0.5461          24.6916     0.1117          23.8807     0.1635          22.6839     0.1633          22.0497     0.2146          21.1768    1.5391         20.5455    0.6098         20.0305    0.5071        
  SPARTAN_comb_N77    0.8259     SPARTAN_comb_N77_1.spec    23.1816     0.0             28.3762     0.0847          26.8326     0.118           24.699      0.2771          23.1816     0.0896          22.4265     0.4724          21.6       0.1243         21.0095    1.3444         20.5684    1.3005        
  SPARTAN_comb_N78    0.826      SPARTAN_comb_N78_1.spec    22.9754     0.0             24.06       0.0743          23.8205     0.0779          23.4497     0.1621          22.9754     0.3803          22.5812     0.2375          21.9584    0.3731         21.9776    0.5235         21.9256    0.4799        
  SPARTAN_comb_N79    0.8266     SPARTAN_comb_N79_1.spec    23.4997     0.0             25.2113     0.0649          24.7534     0.2835          24.1206     0.3136          23.4997     0.0925          22.8998     0.4024          21.9703    0.9828         21.979     0.6763         21.9643    0.3723        
  SPARTAN_comb_N80    0.8271     SPARTAN_comb_N80_1.spec    22.8861     0.0             28.2293     0.3348          26.1872     0.0986          24.2086     0.2557          22.8861     0.0598          22.2178     0.0639          21.5083    0.9894         21.0217    0.3125         20.7698    0.1668        
  SPARTAN_comb_N81    0.8271     SPARTAN_comb_N81_1.spec    23.7413     0.0             25.6015     0.1475          25.1157     0.0883          24.4804     0.1536          23.7413     0.1832          23.2219     0.3622          22.3444    0.5912         22.1165    0.5461         21.8948    0.7476        
  SPARTAN_comb_N82    0.8272     SPARTAN_comb_N82_1.spec    22.5953     0.0             25.3299     0.1164          24.8777     0.0021          23.8039     0.1838          22.5953     0.0409          21.9883     0.2443          21.171     0.2257         20.6647    0.9804         20.4163    0.5836        
