# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N256   0.8621     SPARTAN_comb_N256_1.spec   22.9048     0.5            
  SPARTAN_comb_N257   0.8623     SPARTAN_comb_N257_1.spec   23.615      0.5            
  SPARTAN_comb_N258   0.8624     SPARTAN_comb_N258_1.spec   22.2347     0.5            
  SPARTAN_comb_N259   0.8625     SPARTAN_comb_N259_1.spec   20.6699     0.5            
  SPARTAN_comb_N260   0.8625     SPARTAN_comb_N260_1.spec   22.176      0.5            
  SPARTAN_comb_N261   0.8625     SPARTAN_comb_N261_1.spec   22.5984     0.5            
  SPARTAN_comb_N262   0.8627     SPARTAN_comb_N262_1.spec   22.3952     0.5            
  SPARTAN_comb_N263   0.8627     SPARTAN_comb_N263_1.spec   23.5833     0.5            
  SPARTAN_comb_N264   0.8628     SPARTAN_comb_N264_1.spec   22.2452     0.5            
  SPARTAN_comb_N265   0.863      SPARTAN_comb_N265_1.spec   21.7621     0.5            
  SPARTAN_comb_N266   0.8632     SPARTAN_comb_N266_1.spec   21.7005     0.5            
  SPARTAN_comb_N267   0.8632     SPARTAN_comb_N267_1.spec   23.6553     0.5            
  SPARTAN_comb_N268   0.8634     SPARTAN_comb_N268_1.spec   22.5002     0.5            
  SPARTAN_comb_N269   0.8636     SPARTAN_comb_N269_1.spec   20.4146     0.5            
  SPARTAN_comb_N270   0.8636     SPARTAN_comb_N270_1.spec   23.6123     0.5            
  SPARTAN_comb_N271   0.8636     SPARTAN_comb_N271_1.spec   23.7542     0.5            
  SPARTAN_comb_N272   0.8637     SPARTAN_comb_N272_1.spec   22.5937     0.5            
  SPARTAN_comb_N273   0.8637     SPARTAN_comb_N273_1.spec   23.1265     0.5            
  SPARTAN_comb_N274   0.8639     SPARTAN_comb_N274_1.spec   22.6086     0.5            
  SPARTAN_comb_N275   0.864      SPARTAN_comb_N275_1.spec   21.9367     0.5            
  SPARTAN_comb_N276   0.864      SPARTAN_comb_N276_1.spec   23.3941     0.5            
  SPARTAN_comb_N277   0.864      SPARTAN_comb_N277_1.spec   23.7714     0.5            
  SPARTAN_comb_N278   0.8641     SPARTAN_comb_N278_1.spec   22.1424     0.5            
  SPARTAN_comb_N279   0.8647     SPARTAN_comb_N279_1.spec   22.5176     0.5            
  SPARTAN_comb_N280   0.8648     SPARTAN_comb_N280_1.spec   22.4522     0.5            
  SPARTAN_comb_N281   0.8648     SPARTAN_comb_N281_1.spec   23.0656     0.5            
  SPARTAN_comb_N282   0.8649     SPARTAN_comb_N282_1.spec   21.6776     0.5            
  SPARTAN_comb_N283   0.8649     SPARTAN_comb_N283_1.spec   22.1125     0.5            
  SPARTAN_comb_N284   0.865      SPARTAN_comb_N284_1.spec   23.1003     0.5            
  SPARTAN_comb_N285   0.8656     SPARTAN_comb_N285_1.spec   22.9766     0.5            
  SPARTAN_comb_N286   0.8661     SPARTAN_comb_N286_1.spec   22.2067     0.5            
  SPARTAN_comb_N287   0.8663     SPARTAN_comb_N287_1.spec   23.1788     0.5            
  SPARTAN_comb_N288   0.8665     SPARTAN_comb_N288_1.spec   23.948      0.5            
  SPARTAN_comb_N289   0.8667     SPARTAN_comb_N289_1.spec   23.56       0.5            
  SPARTAN_comb_N290   0.8671     SPARTAN_comb_N290_1.spec   23.3568     0.5            
  SPARTAN_comb_N291   0.8675     SPARTAN_comb_N291_1.spec   21.772      0.5            
  SPARTAN_comb_N292   0.8677     SPARTAN_comb_N292_1.spec   21.482      0.5            
  SPARTAN_comb_N293   0.8681     SPARTAN_comb_N293_1.spec   22.7181     0.5            
  SPARTAN_comb_N294   0.8684     SPARTAN_comb_N294_1.spec   23.9967     0.5            
  SPARTAN_comb_N295   0.8685     SPARTAN_comb_N295_1.spec   22.1058     0.5            
  SPARTAN_comb_N296   0.8688     SPARTAN_comb_N296_1.spec   21.1891     0.5            
